Description	Intelligence	Power	Speed	Energy emission	Combat skills
Captain America	4	4	3	1	6
Iron Man	6	4	5	6	3
Wolverine	3	4	3	1	7
Black Panther	5	4	3	1	6
Scarlet Witch	3	3	3	7	3
Black Widow	3	3	2	3	6
Hawkeye	5	3	3	2	7
Spider-Man	5	4	5	4	5
Hulk	6	7	3	1	5
Thor	2	5	6	6	6
Star-Lord	5	5	7	6	5
Gamora	4	5	5	1	7
Drax the Destroyer	1	6	4	2	6
Rocket Racoon	4	1	3	1	4
Groot	6	5	2	1	4
Deadpool	5	4	7	1	7
Shang-Chi	4	3	4	3	7
Mister Fantastic	7	3	2	1	2
Human Torch	4	4	5	6	4
Invisible Woman	5	4	5	7	5
The Thing	2	6	2	1	4
Silver Surfer	4	6	7	7	5
Quicksilver	3	2	7	2	4
Vision	7	5	4	7	6
Ghost Rider	3	4	2	6	4
Ant-Man	4	2	2	4	2
Falcon	3	3	4	3	5
Winter Soldier	3	3	2	1	7
Odin	7	7	7	7	7
Doctor Strange	7	3	5	7	7
Apocalypse	7	7	7	7	7
Magneto	6	2	4	6	3
Ultron	4	6	2	6	4
Ronan the Accuser	4	6	4	7	6
Thanos	7	7	6	7	7
Loki	5	5	3	7	2
Venom Mac Gargan	2	7	3	1	2
Mandarin	7	5	3	7	7
Red Skull	4	3	3	1	5
Green Goblin	6	6	5	6	3
